,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,4.93,4.46,4.73,4.63,5.18,5.92,5.98,5.58,4.46,4.0,4.04,5.88,10.08,10.37,9.58,8.16,7.32,6.73,6.12,5.91,4.51,3.94,3.18,6.41,3.37,2.52,2.49
Alaska,6.93,6.32,6.41,6.32,6.28,7.17,7.68,7.42,6.93,6.63,6.26,6.48,7.98,8.13,7.73,7.25,6.99,6.74,6.28,6.6,6.51,6.04,5.61,8.35,6.38,4.23,4.22
Arizona,4.62,4.27,4.46,3.98,4.73,6.14,5.78,4.97,4.67,4.31,3.75,5.79,9.67,10.3,9.43,8.35,7.82,6.79,6.07,5.48,4.97,4.81,4.81,7.82,5.07,3.77,3.91
Arkansas,5.11,5.05,4.53,4.18,4.76,5.33,5.76,5.58,5.26,5.25,5.39,5.44,7.72,7.86,7.91,7.27,7.04,5.9,4.95,3.98,3.74,3.66,3.49,6.18,4.04,3.21,3.22
California,6.41,5.93,5.27,4.92,5.47,6.76,6.89,6.22,5.38,4.92,5.31,7.3,11.54,12.46,11.89,10.52,9.03,7.57,6.22,5.52,4.83,4.26,4.1,10.19,7.32,4.27,4.74
Colorado,3.36,3.62,3.02,2.74,3.82,5.68,6.11,5.57,5.08,4.27,3.7,4.88,7.88,9.14,8.69,8.0,6.75,4.98,3.74,3.13,2.61,3.05,2.67,6.78,5.48,3.07,3.15
Connecticut,4.68,3.24,2.46,2.11,2.88,4.4,5.45,5.09,4.8,4.42,4.45,5.65,8.33,9.56,9.02,8.36,7.95,6.62,5.62,4.87,4.42,3.88,3.59,8.0,6.38,4.09,3.71
Delaware,4.01,3.49,3.28,3.61,3.58,4.27,4.47,4.3,4.51,3.91,3.61,5.03,8.34,8.66,7.61,7.07,6.61,5.61,4.79,4.53,4.47,3.71,3.55,7.47,5.47,4.23,3.98
District of Columbia,8.14,8.32,6.58,5.69,6.47,6.98,7.27,8.08,6.99,6.32,5.95,6.85,10.0,9.95,10.19,8.98,8.43,7.71,6.92,6.23,6.1,5.68,5.5,7.89,6.87,4.75,4.87
Florida,4.92,4.45,3.93,3.76,4.43,4.96,4.47,3.75,2.88,2.47,3.3,5.69,9.56,10.82,10.0,8.67,7.53,6.43,5.52,4.92,4.3,3.65,3.25,8.19,4.69,2.99,2.91
Georgia,4.48,4.18,3.82,3.53,4.09,5.31,5.14,5.08,5.68,5.08,4.91,6.78,10.41,10.66,10.16,9.04,8.14,7.14,6.07,5.47,4.76,4.0,3.58,6.5,3.93,3.14,3.2
Hawaii,5.92,5.82,5.19,4.25,4.28,4.05,3.91,3.29,2.83,2.55,2.72,4.03,6.66,6.82,6.83,5.9,4.76,4.23,3.42,2.89,2.22,2.41,2.52,11.79,5.96,3.26,2.93
Idaho,5.22,5.23,5.01,4.66,5.08,5.62,5.57,4.87,3.99,3.43,3.03,5.03,8.71,8.76,8.17,7.4,6.82,4.38,3.87,3.68,3.22,2.88,2.88,5.54,3.55,2.84,3.08
Illinois,4.78,4.45,4.41,4.44,5.43,6.55,6.72,6.18,5.72,4.6,5.07,6.51,10.18,10.47,9.76,9.05,9.07,7.17,5.99,5.88,4.95,4.4,3.97,9.31,6.1,4.57,4.46
Indiana,3.42,3.01,2.95,3.05,4.24,5.19,5.28,5.4,5.39,5.0,4.62,5.94,10.43,10.08,8.91,8.23,7.5,5.95,4.78,4.37,3.49,3.43,3.31,7.35,3.92,3.07,3.34
Iowa,3.14,2.84,2.66,2.68,3.32,4.0,4.45,4.53,4.29,3.7,3.72,4.18,6.4,6.12,5.65,5.06,4.73,4.23,3.69,3.58,3.06,2.58,2.66,5.2,3.85,2.81,2.96
Kansas,3.79,3.68,3.48,3.78,4.27,5.08,5.55,5.51,5.07,4.42,4.23,4.61,6.89,6.93,6.38,5.72,5.3,4.51,4.15,4.02,3.62,3.36,3.16,5.82,3.35,2.62,2.65
Kentucky,5.22,4.51,4.49,4.14,5.21,5.79,6.19,5.5,5.88,5.73,5.37,6.52,10.77,10.27,9.38,8.2,7.92,6.42,5.23,5.03,4.77,4.2,4.09,6.47,4.47,4.03,4.16
Louisiana,5.88,5.52,4.97,5.15,5.6,5.99,6.28,5.7,7.06,4.13,4.09,4.67,6.79,7.52,7.43,6.77,6.42,6.25,6.29,6.07,5.11,4.82,4.62,8.69,5.6,3.63,3.64
Maine,5.19,4.46,4.01,3.33,3.75,4.46,5.15,4.66,4.89,4.72,4.69,5.4,8.39,8.42,7.72,7.19,6.68,5.56,4.38,3.78,3.36,3.18,2.91,5.12,4.67,2.85,2.83
Maryland,4.81,4.24,3.46,3.52,4.21,4.78,4.8,4.62,4.47,4.18,3.73,4.53,7.55,7.82,7.32,6.87,6.52,5.73,4.99,4.29,4.0,3.82,3.38,6.47,5.22,2.98,2.1
Massachusetts,4.06,3.37,3.28,2.82,3.78,5.22,5.73,5.11,4.8,4.7,4.52,5.33,8.07,8.06,7.22,6.7,6.64,5.74,4.79,4.04,3.79,3.47,3.02,9.38,5.4,3.66,3.34
Michigan,4.29,3.98,3.74,3.69,5.16,6.19,7.09,6.95,6.79,7.03,7.08,8.22,13.13,12.19,10.01,9.06,8.72,7.23,5.43,5.01,4.58,4.16,4.05,10.05,5.77,4.13,3.89
Minnesota,3.22,2.68,2.71,3.03,3.78,4.47,4.78,4.58,4.1,4.06,4.58,5.43,7.91,7.39,6.53,5.65,5.04,4.27,3.79,3.87,3.48,3.03,3.27,6.28,3.7,2.53,2.82
Mississippi,5.7,5.24,5.11,5.32,5.49,6.43,6.14,6.16,7.6,6.37,6.15,6.71,9.36,10.08,9.78,8.82,8.49,7.59,6.48,5.97,5.23,4.96,5.5,8.03,5.46,3.78,3.2
Missouri,4.35,4.03,3.23,3.42,4.49,5.28,5.66,5.88,5.4,4.87,5.08,6.22,9.02,9.51,8.64,7.19,6.77,6.15,5.11,4.55,3.74,3.24,3.25,6.22,4.14,2.6,3.06
Montana,5.5,5.61,5.31,4.83,4.61,4.55,4.74,4.51,4.07,3.34,3.36,4.72,7.12,7.18,6.62,5.8,5.34,4.67,4.29,4.32,4.09,3.75,3.5,5.84,3.4,2.68,2.86
Nebraska,2.41,2.51,2.72,2.79,3.15,3.68,3.94,3.91,3.76,3.04,2.92,3.26,4.66,4.7,4.4,3.88,3.67,3.25,2.98,3.07,2.98,2.92,3.12,4.27,2.58,2.14,2.27
Nevada,4.38,4.18,3.97,4.12,5.19,5.68,5.28,4.46,4.13,4.07,4.59,6.88,11.72,13.73,13.32,11.61,9.97,8.16,6.85,5.81,4.98,4.38,4.15,13.72,6.83,5.2,5.14
New Hampshire,3.37,2.83,2.75,2.65,3.39,4.49,4.47,3.8,3.63,3.53,3.52,3.77,6.14,6.08,5.45,5.47,5.25,4.32,3.39,2.88,2.81,2.63,2.58,6.74,3.41,2.28,2.17
New Jersey,5.32,4.56,4.4,3.65,4.23,5.77,5.84,4.92,4.44,4.62,4.21,5.45,8.93,9.66,9.37,9.38,8.37,6.73,5.7,4.94,4.53,4.01,3.46,9.48,6.71,3.87,4.42
New Mexico,6.43,6.24,5.6,5.02,4.96,5.48,5.9,5.56,5.18,4.23,3.59,4.3,7.05,7.77,7.22,6.97,6.91,6.59,6.6,6.75,6.04,4.92,4.96,7.93,7.07,4.06,3.75
New York,6.4,5.6,5.18,4.51,4.87,6.2,6.4,5.79,4.96,4.53,4.43,5.41,8.37,8.72,8.36,8.62,7.79,6.29,5.23,4.87,4.63,4.1,3.86,9.89,7.09,4.32,4.21
North Carolina,3.83,3.53,3.28,3.76,5.62,6.92,6.72,5.86,5.6,5.13,5.09,6.21,11.03,10.72,10.23,9.52,7.73,6.11,5.66,5.1,4.52,3.99,3.88,7.28,4.88,3.68,3.46
North Dakota,2.95,2.95,3.14,2.92,2.83,3.37,3.47,3.38,3.31,3.1,3.02,3.11,3.92,3.69,3.36,2.93,2.89,2.62,2.78,3.1,2.61,2.41,2.14,4.95,3.0,2.0,1.88
Ohio,4.62,4.35,4.32,4.12,4.38,5.79,6.22,6.25,5.93,5.42,5.61,6.6,10.14,10.27,8.82,7.41,7.46,5.8,4.95,5.08,4.97,4.5,4.18,8.27,5.16,3.99,3.53
Oklahoma,3.96,4.08,3.47,2.99,3.62,4.62,5.41,4.71,4.32,3.92,3.97,3.62,6.56,6.5,5.59,5.12,5.12,4.33,4.29,4.66,4.03,3.29,3.12,6.31,4.03,3.04,3.22
Oregon,5.55,5.64,5.47,5.19,6.37,7.48,8.02,7.34,6.19,5.39,5.16,6.28,10.79,10.69,9.61,8.81,7.75,6.64,5.47,4.75,4.06,4.04,3.72,7.6,5.15,3.92,3.71
Pennsylvania,5.14,4.69,4.49,4.22,4.81,5.53,5.7,5.36,4.98,4.71,4.56,5.35,7.98,8.17,7.74,7.66,7.1,5.93,5.39,5.34,4.97,4.42,4.3,8.88,5.92,4.05,3.41
Rhode Island,5.32,4.54,4.2,4.0,4.44,5.11,5.58,5.25,5.11,5.22,5.11,7.6,11.39,11.62,11.02,10.22,9.48,7.77,6.02,5.24,4.51,4.03,3.53,9.24,5.52,3.17,2.94
South Carolina,4.5,3.63,4.14,3.73,5.28,6.43,7.19,7.44,7.29,6.87,6.07,7.29,11.41,11.3,10.45,9.03,7.42,6.28,5.9,4.92,4.2,3.38,2.77,5.97,3.94,3.21,2.95
South Dakota,2.94,2.84,2.72,2.53,3.0,3.23,3.48,3.61,3.55,3.0,2.82,3.08,4.58,4.91,4.6,4.06,3.7,3.33,3.05,3.02,3.05,2.79,2.77,4.18,2.62,1.99,2.0
Tennessee,5.27,4.35,3.96,3.87,4.52,5.12,5.51,5.35,5.52,5.28,4.63,6.52,10.12,9.82,9.11,7.96,7.72,6.6,5.57,4.76,3.75,3.5,3.33,7.51,4.47,3.38,3.29
Texas,5.39,4.97,4.72,4.38,4.96,6.36,6.73,6.02,5.46,5.0,4.37,4.87,7.54,8.19,8.02,6.71,6.3,5.19,4.48,4.65,4.34,3.9,3.52,7.72,5.64,3.94,3.95
Utah,3.17,3.56,3.51,3.32,4.37,5.67,5.57,5.01,4.04,2.87,2.56,3.34,7.26,7.93,7.06,4.78,4.21,3.63,3.51,3.35,3.17,2.92,2.54,4.84,2.76,2.36,2.64
Vermont,3.94,3.47,3.08,2.81,3.29,3.83,4.38,3.67,3.45,3.72,3.94,4.57,6.17,6.32,5.57,4.82,4.42,3.99,3.53,3.13,3.01,2.48,2.07,5.66,3.58,2.32,2.01
Virginia,3.7,2.78,2.7,2.28,3.28,4.36,4.34,4.08,3.83,3.34,3.28,4.28,6.83,7.29,6.54,5.95,5.55,5.12,4.37,4.0,3.67,3.01,2.76,6.49,3.85,2.76,2.85
Washington,4.94,4.83,4.82,5.09,6.01,7.07,7.23,6.3,5.59,5.0,4.6,5.29,8.27,9.13,8.52,7.64,6.63,5.92,5.43,5.22,4.64,4.42,4.19,8.53,5.24,4.07,4.07
West Virginia,6.98,6.68,6.45,5.58,5.39,6.46,6.57,5.77,5.42,5.2,4.82,4.75,8.3,8.63,7.82,7.26,6.72,6.5,6.58,6.09,5.21,5.17,4.92,8.28,5.15,3.88,3.91
Wisconsin,3.47,3.28,3.08,3.39,4.43,5.32,5.62,4.97,4.74,4.68,4.82,4.98,8.96,8.5,7.53,6.92,6.64,5.35,4.42,3.91,3.26,2.98,3.21,6.46,3.86,2.89,3.05
Wyoming,4.78,4.79,4.71,3.75,3.82,4.01,4.32,3.84,3.54,3.01,2.69,2.93,6.26,6.94,6.13,5.5,4.73,4.34,4.21,5.33,4.32,4.06,3.71,5.86,4.54,3.42,2.92
